sentID,words,swapsEager,swapsLazy,swapsLazier,avgBlockSizeEager,avgBlockSizeLazy,avgBlockSizeLazier,avgAltBlockSizeEager,avgAltBlockSizeLazy,avgAltBlockSizeLazier,better
23351,3,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23352,20,14,14,14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
23353,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23354,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23355,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23356,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23357,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23358,11,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23359,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23360,24,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23361,42,13,1,1,1.000000,1.000000,1.000000,1.000000,13.000000,13.000000,no
23362,36,60,2,2,1.000000,1.000000,1.000000,1.000000,30.000000,30.000000,no
23363,19,23,19,7,1.478261,1.473684,1.428571,1.000000,1.210526,3.285714,no
23364,58,15,3,3,1.000000,1.000000,1.000000,1.000000,5.000000,5.000000,no
23365,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23366,28,7,1,1,1.000000,1.000000,1.000000,1.000000,7.000000,7.000000,no
23367,23,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23368,19,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23369,30,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23370,29,27,16,16,2.777778,2.875000,2.875000,1.000000,1.687500,1.687500,no
23371,19,1,1,1,13.000000,13.000000,13.000000,1.000000,1.000000,1.000000,no
23372,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23373,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
